TestName,Metric,Value,Unit,Timestamp
BatchOperationThroughput,batch_write_10_latency,17.528468,ms,1750681987273
BatchOperationThroughput,batch_write_10_throughput,570.500514,ops/sec,1750681987274
BatchOperationThroughput,batch_write_10_bandwidth,0.139282,MB/sec,1750681987275
BatchOperationThroughput,batch_get_10_latency,20.716095,ms,1750681987275
BatchOperationThroughput,batch_get_10_throughput,482.716458,ops/sec,1750681987275
BatchOperationThroughput,batch_get_10_bandwidth,0.117851,MB/sec,1750681987275
BatchOperationThroughput,batch_write_50_latency,5.482412,ms,1750681987291
BatchOperationThroughput,batch_write_50_throughput,9120.073428,ops/sec,1750681987292
BatchOperationThroughput,batch_write_50_bandwidth,2.226580,MB/sec,1750681987292
BatchOperationThroughput,batch_get_50_latency,9.199486,ms,1750681987292
BatchOperationThroughput,batch_get_50_throughput,5435.086265,ops/sec,1750681987292
BatchOperationThroughput,batch_get_50_bandwidth,1.326925,MB/sec,1750681987292
BatchOperationThroughput,batch_write_100_latency,6.994059,ms,1750681987306
BatchOperationThroughput,batch_write_100_throughput,14297.849074,ops/sec,1750681987306
BatchOperationThroughput,batch_write_100_bandwidth,3.490686,MB/sec,1750681987307
BatchOperationThroughput,batch_get_100_latency,4.831373,ms,1750681987307
BatchOperationThroughput,batch_get_100_throughput,20698.050016,ops/sec,1750681987307
BatchOperationThroughput,batch_get_100_bandwidth,5.053235,MB/sec,1750681987307
BatchOperationThroughput,batch_write_500_latency,11.485525,ms,1750681987345
BatchOperationThroughput,batch_write_500_throughput,43533.055738,ops/sec,1750681987345
BatchOperationThroughput,batch_write_500_bandwidth,10.628187,MB/sec,1750681987345
BatchOperationThroughput,batch_get_500_latency,24.693693,ms,1750681987345
BatchOperationThroughput,batch_get_500_throughput,20248.085209,ops/sec,1750681987345
BatchOperationThroughput,batch_get_500_bandwidth,4.943380,MB/sec,1750681987345
BatchOperationThroughput,batch_write_1000_latency,15.986761,ms,1750681987381
BatchOperationThroughput,batch_write_1000_throughput,62551.757670,ops/sec,1750681987381
BatchOperationThroughput,batch_write_1000_bandwidth,15.271425,MB/sec,1750681987381
BatchOperationThroughput,batch_get_1000_latency,16.635443,ms,1750681987381
BatchOperationThroughput,batch_get_1000_throughput,60112.616177,ops/sec,1750681987381
BatchOperationThroughput,batch_get_1000_bandwidth,14.675932,MB/sec,1750681987381
